"","x"
"248","リコールによる改善措置の指示が不適切なため、変向機のピニオンギヤシャフトのスプライン部に摩耗が残ったままのものがあり、そのままの状態で使用を続けると、変速機と変向機との間のドライブシャフトに偏芯回転が発生することによってフライホイールハウジングの変向機取り付け部に過大な力が加わり、最悪の場合、当該取り付け部が破損、変向機が脱落して走行不能となるおそれがある。"
"249","チェーン駆動式動力伝達装置（トランスファ）の、オイルシール及びオーリングの耐熱性が不足しているため、連続高速走行によりトランスファ油温が上昇した場合に、当該オイルシールまたはオーリングが損傷して変速機（トランスミッション）のオイルがトランスファ内に流入することがある。そのため、チェーンの攪拌抵抗増加によって油温が更に上昇して、オイルがブリーザから噴出し、最悪の場合、火災に至るおそれがある。"
"250","後２軸駆動車の前側駆動軸差動機（インターデフケース）において、リコールによる改善措置の指示が不適切なため、推進軸接手との嵌合いスプライン部に摩耗が残ったままのものがあり、キャッスルナットにゆるみが生じるものがある。接手取付け部ねじ強度が不十分なため、推進軸取付け角度が大きくねじ部への力が大きい場合、当該ねじ部が折損するものがある。そのため、そのままの状態で使用を続けると接手が抜け出し、最悪の場合、推進軸が脱落して走行不能となるおそれがある。"
"251","後1軸駆動の大型トラックのリヤアクスルシャフトの材質が不適切なため、発進時の過大入力に対するフランジ根元付近の強度が不足している。そのため、急発進等の過酷な操作により、当該シャフトが破損し、走行不能となるおそれがある。"
"252","機械式自動変速機の変速を制御している電子制御機器（ＥＣＵ）の制御プログラムが不適切なため、ドライブレンジで走行後、そのままの状態でクラッチペダルを踏まずに停止した場合、クラッチが自動で切れた状態となっているため、ブレーキを操作していないと下り坂等により極低速で車両が動き出すことがあり、その状態をＥＣＵが通常走行になったと誤認識し、クラッチが自動的に接続され、車両が発進するおそれがある。"
"253","作業時の緩衝装置の機能を固定するサスペンションロックシリンダを取付けているブラケットの強度が不足しているため、作業時及び制動時に当該ブラケットを取付けている車枠に亀裂が生じるものがある。そのため、そのまま使用を続けると、最悪の場合、車枠から当該ブラケットが外れ、タイヤを損傷するおそれがある。"
"254","発電機の電気配線において、当該配線の長さ設定が不適切なため、配線の端子部にエンジンの振動により過大な力がかかり、当該配線の端子部が折損するものがある。そのため、充電ができなくなり、最悪の場合、原動機が停止し、再始動ができなくなるおそれがある。"
"255","エンジン制御装置の配線接続の構造が不適切なため、運転者が意図的な操作をおこなった場合、エンジン警告灯が点灯するが、運転者が当該警告灯に従わず走行すると、同時に速度抑制装置（スピードリミッタ）の作動が解除されてしまうため、車速が設定速度を超えるおそれがある。"
"256","スチールベルトの製造過程において、誤って異なるコンパウンドが使用されたため、スチールコードと周囲のゴムに接着不良のものがある。このため、タイヤの一部が変形して走行中に乗り心地の悪化や振動が発生し、そのまま走行を繰り返すと、最悪の場合、トレッド部が剥離するおそれがある。"
"257","高所作業車において、排気管の取付け作業が不適切なため、クランプの爪部に隙間が生じているものがある。そのため、そのまま使用を続けると、当該クランプのボルトが折損して排気管がずれ、近くに格納されている木製ジャッキベースに直接排気ガスが当たり、ジャッキベースが焦げ、最悪の場合、火災に至る恐れがある。"
"258","排気管の固定方法が不適切なため、エンジンの振動により排気管に亀裂が発生するものがある。そのため、そのままの状態で使用を続けると、騒音レベルが規制値を超える、または排気ガスの熱により周囲の電気配線の被覆が溶損し、電気配線がショートして、最悪の場合、エンジンが再始動できなくなるおそれがある。"
"259","変速機（トランスミッション）内部の３速歯車を支えるベアリング（ニードルローラーベアリング）の保持器の強度が不十分なため、３速の歯車より加わる荷重等により当該保持器が変形・破損することがある。そのため、そのままの状態で使用を続けると、シフト不良、異音等が発生して、最悪の場合、当該ベアリングが焼付き走行不能となるおそれがある。"
"260","パワーステアリング装着車において、ナックルアームの強度が不足しているため、据切りの多用や操舵頻度の高い走行を繰り返すと、当該アームに亀裂が発生するものがある。そのため、そのままの状態で使用を続けると、最悪の場合、ナックルアームが折損して操舵不能となるおそれがある。"
"261","四輪駆動車において、前輪推進軸を支えるセンターベアリングの取付け金具の剛性不足及びクランプ締付け面精度不良により、取付けボルトに過大な力がかかるものがある。そのため、当該ボルトが折損し、異音が発生して、そのまま使用を続けると、取付け金具が折損して推進軸の支えがなくなり、走行が出来なくなるおそれがある。"
"262","シリンダヘッドとインテークマニホールドの間にあるクランクケースブリーザーホース（ブローバイホース）の材質が不適切なため、使用過程において、当該ホースが膨張および軟化し、エンジンの振動によりシリンダヘッドと干渉し、異音が発生することがある。そのままの状態で使用を続けると当該ホースに亀裂を生じ、最悪の場合、ブローバイガスが大気中に放出されるおそれがある。"
"263","ステアリングギヤボックスをクロスメンバに固定するブラケット（２箇所のうち右側）の板厚に薄いものがあるため、ハンドル据え切り操作を頻繁に繰り返すと、当該ブラケットが損傷することがある。そのため、異音やハンドルの遊びが大きくなり、最悪の場合、確実な操舵ができなくなるおそれがある。"
"264","かじ取り装置のリレーロッドの強度が不足しているため、ハンドルの据え切り操作等の操舵力が高くなる使用を頻繁に長期間続けると亀裂が生じるものがある。そのため、そのまま使用を続けると亀裂が進行し、最悪の場合、リレーロッドが折損し操舵ができなくなるおそれがある。"
"265","前輪車軸懸架方式の小型トラックのタイロッドエンドのボールジョイントにおいて、ダストブーツのシール構造が不適切なため、当該ジョイントへ泥水等が浸入し、樹脂ベアリングが摩耗してガタが発生することがある。そのため、そのままの状態で使用を続けるとガタが増大し、最悪の場合、ボールジョイントがタイロッドから外れ走行不能になるおそれがある。"
"266","緩衝装置（アッパーアーム、ロワアームのボールジョイント）前輪独立懸架方式の小型トラックのアッパーアームとロアアームのボールジョイントにおいて、ダストブーツのシール構造が不適切なため、当該ジョイントへ泥水等が浸入し、樹脂ベアリングが摩耗してガタが発生することがある。前輪独立懸架方式の小型トラックのアッパーアームのボールジョイントにおいて、補用部品の供給方法が不適切なため、整備時に誤って組付けられたものがあり、当該ジョイントへ泥水等が浸入し、樹脂ベアリングが摩耗してガタが発生することがある。そのため、そのままの状態で使用を続けるとガタが増大し、最悪の場合、ボールジョイントがサスペンションアームから外れ、走行不能になるおそれがある。"
"267","低床式後２軸大型トラックの後軸のアクスルチューブにおいて、鍛造時の金型の管理が不適切なため、当該チューブに傷のついた部品が組み付けられた車両がある。そのため、路面からの入力等の繰り返しにより当該チューブに亀裂が発生し、 
  最悪の場合、チューブが破断して、走行不能に至るおそれがある。"
"268","独立懸架緩衝装置において、前輪サスペンションアーム及び後２軸車のうち後々輪サスペンションアームの剛性が不足しているため、走行時の路面入力や制動時の入力等により、当該アームの補強部材に亀裂が発生、あるいは、ナックルシャフトが摩耗することがある。そのため、そのままの状態で使用を続けると当該アームの補強部が折損、あるいは、ナックルシャフトが破損し、最悪の場合、走行不能となるおそれがある。"
"269","排気管と消音器とを接続する取付金具の拘束力が不足しているため、当該接続部から排気ガスが漏れることがある。そのため、そのまま使用を続けると、当該排気管が外れ、騒音が増大するおそれがある。"
"270","エンジンのターボ翼のバランス取り加工が不適切なため、当該翼の強度が低下しているものがある。そのため、当該翼の一部が欠損して出力低下し、そのままの状態で使用を続けると、最悪の場合、当該翼が破損してエンジンオイルが吸気管からエンジンに流れ込み、エンジンの回転が上昇するおそれがある。ブレーキ液のリザーバタンクの制動液漏れ警報用フロートストッパの構造が不適切なため、製造ラインでブレーキ液を加圧注油した際、フロートが当該ストッパから外れたものがある。そのため、ブレーキ液が減少しても、制動液漏れ警報装置が正常に作動しなくなるおそれがある。"
"271","ＤＰＦ（ディーゼル微粒子除去装置）において、ＤＰＦ内に捕集されたＰＭ（粒子状物質）の自動除去機能を制御するコンピュータのプログラムが不適切なため、ＤＰＦ内のＰＭの除去が適切にされず、ＰＭが過大に堆積した状態で自動除去機能が作動することがある。そのため、ＤＰＦの温度が異常に上昇し、排気温度センサーが損傷してエンジン警告灯が点灯し、最悪の場合、ＤＰＦが損傷してＰＭの排出量が基準値を超えるおそれがある。"
"272","発電機（オルタネータ）のボビンとコイル間に巻かれたテープの材質が不適切なため、発電時に発生する熱により当該テープからガスが発生し、コイル被覆が損傷してショートし、発電ができなくなるものがある。そのため、そのままで使用を続けると、エンジンが停止して再始動ができなくなるおそれがある。"
"273","駐車ブレーキ（ホイールパーキングブレーキ）用エア配管（ナイロンチューブ）の取り回しが不適切なため、エンジンからの熱によりナイロンチューブが軟化するものがある。そのため、ナイロンチューブが損傷してエアが漏れ、走行中に駐車ブレーキが作動して、走行不能となるおそれがある。"
"274","方向指示器において、バルブの橙色コーティング塗装材料が不適切なため、コーティング塗装寿命が不足している。そのため、そのままの状態で使用を続けると、橙色コーティング塗装が剥離し、灯光色が白色となるおそれがある。"
"275","エンジンコントロールユニットのプログラムが不適切なため、スロットルバルブの閉じた位置で、当該バルブの振幅が大きく、電子スロットルモータのストッパーが破損することがある。そのため、エンジン制御がエマージェンシーモードになり、ブレーキ倍力装置に供給される負圧が減少し、ブレーキペダルの踏力が通常より重くなるおそれがある。"
"276","主制動装置のブレーキシューを拡張するエキスパンダのウェッジ部の構造が不適切なため、当該シューのブレーキライニングが使用限度を超えて摩耗した状態又はシューギャップが大きい状態で使用した場合、当該ウェッジ部のローラがタペットを乗り越して外れるものがある。そのため、当該ウェッジの作動が不能となり、ブレーキシューの拡張ができず制動力が低下し、最悪の場合、制動不能になるおそれがある。"
"277","リヤコンビネーションランプの尾灯と制動灯兼用の赤色レンズの耐候性が不十分なため、長期間にわたり強い日射にさらされると徐々にレンズの赤色が褪色し、当該灯火の灯光の色が保安基準に適合しなくなるおそれがある。"
"278","リヤコンビネーションランプの尾灯と制動灯兼用の赤色レンズの耐候性が不十分なため、長期間にわたり強い日射にさらされると徐々にレンズの赤色が褪色し、当該灯火の灯光の色が保安基準に適合しなくなるおそれがある。"
"279","パワーステアリング用シリンダの右側ロッドに不適切な加工を行ったため、当該ロッドの強度が不足しており、かじ取り操作を繰り返すと、当該ロッドのピン穴部に亀裂が生じるものがある。そのため、そのまま使用を続けると、亀裂が進行して破損し、右後輪タイヤの操舵ができなくなるおそれある。"
"280","前輪ホイールのスポークの調整が不適切であったため、スポークの製作時の張力が均一でないものがあり、走行時に高い荷重を繰り返し受けると当該スポーク部が折損することがある。そのままの状態で使用を続けると最悪の場合、折損したスポークがタイヤチューブを損傷させ、前輪タイヤがパンクし走行不能となるおそれがある。"
"281","燃料装置の給油パイプコネクターの成形方法が不適切なため、このままで使用を続けると、当該コネクター部の成形時の継ぎ目部に亀裂が生じることがあり、最悪の場合、当該部位より燃料が漏れるおそれがある。"
"282","リアサスペンションのショックアブソーバ下側取り付け部分の溶接が不適切なため、走行による振動等により、当該部分が破損し、最悪の場合、走行不能に至るおそれがある。"
"283","樹脂製燃料タンクに溶着されているベントリング（走行中に液体の燃料が燃料蒸発ガス吸着キャニスタに吸い込まれないためのベントバルブが接続されているもの）の成型が不適切なため、当該燃料タンクの膨張収縮の繰り返しにより、当該ベントリングに亀裂が入ることがある。そのため、燃料の残量が多い場合、当該ベントリングから燃料が漏れるおそれがある。"
"284","ブレーキブースタと吸気マニホールド間のチェックバルブキャップの溶着が不適切なものがある。ため、エンジンの振動等により当該チェックバルブキャップがはずれることがある。そのため、ブレーキブースタへの負圧がなくなり、最悪の場合、制動力が低下するおそれがある。"
"285","四輪駆動車の走行装置において、前輪ナックルのベアリング圧入部の構造が不適切なため、当該ベアリング圧入部に溜まった泥水により、オイルシールが摩耗して性能が低下し、ベアリングに泥水が侵入するものがある。そのため、ベアリング内部のグリスが流出して異音が発生し、そのままの状態で使用を続けると、最悪の場合、当該ベアリングが破損し、走行不能に至るおそれがある。四輪駆動車の動力伝達装置において、前軸差動装置のギヤ比の設定が不適切なため、後輪タイヤの摩耗状態や積載条件によっては、四輪駆動で走行すると、前後輪のタイヤ回転数差に比例して動力伝達装置にねじりトルクが発生し、四輪駆動から二輪駆動への切り換え操作をしているにもかかわらず、二輪駆動になっていないことがある。そのため、高速走行を行うと、前軸差動装置が異常に発熱し、オイルシールが損傷してオイルが漏れ、ベアリングやギヤが焼付き、最悪の場合、前輪がロックして走行不能に至るおそれがある。"
"286","フロントスピンドルの強度が不足しているため、段差を通過する走行等を繰り返し行うと当該スピンドルが折損するものがある。そのため、前輪が外れ走行不能となるおそれがある。リヤスピンドルの強度が不足しているため、急発進等を繰り返し行うと当該スピンドルが折損するものがある。そのため、後輪が外れ走行不能となるおそれがある。"
"287","燃料配管の継ぎ手部（クイックコネクタ）の組み付け作業が不適切なため、クイックコネクタの嵌合に不十分なものがある。そのため、そのまま使用を続けると、燃圧によりクイックコネクタが動き、シール性が損なわれて燃料が漏れるおそれがある。"
"288","油圧式パワーステアリングの配管（フィードホース）の長さが不適切なため、ハンドルを最大に切った状態から素早く戻すと油路を切り替えるバルブで油圧が急激に変動し、パイプ類が共振して異音が発生するものがある。そのため、そのまま使用を続けると、共振した際の振動でギヤボックスのフィードパイプに亀裂が生じ、パワーステアリングオイルが漏れてハンドルの操作力が増大するおそれがある。"
"289","フロントハブにおいて、ホイールナットの過大締付けトルクや過積載等の想定を超える使用環境に対する余裕が十分ではないため、ハブのフランジ隅部への応力が過大になり、当該部に微小亀裂が発生する場合がある。そのため、そのまま使用を続けると亀裂が進行し、最悪の場合、破断するおそれがある。"
"290","制動灯用スイッチの接点にはたらく電気負荷に対する接点部の形状が不適切なため、接点に酸化物が生成され接触抵抗が増大するものがある。そのため、スイッチが導通不良となり、制動灯が点灯しなくなるおそれがある。電動式燃料ポンプの製造時に異物の除去が不充分なため、内部モータの配線被覆が異物により損傷して短絡し、燃料ポンプ回路のヒューズが切れたり、モータブラシが異常摩耗することがある。そのため、燃料ポンプが作動しなくなり、エンジンが停止して再始動できなくなるおそれがある。"
"291","車軸組立の際、前輪ハブ外側軸受け部のロックナット締付けが不適切なもの及び前輪ハブ外側受け部と前輪ハブ胴部のグリース充填量が不足しているものがある。そのため、当該軸受けが締付不足または、潤滑不良により発熱、破損し、最悪の場合、走行不能または、火災に至るおそれがある。"
"292","パワステアリング機構において、油圧配管の取り回しが不適切なため、ハンドルを最大限まで切ると当該配管がリンクロッドと干渉するもの、また、走行中の振動で当該配管と排気管が干渉するものがある｡そのため、そのままの状態で使用を続けると、当該配管が損傷して作動油が漏れ、ハンドルの操舵力が増大し、最悪の場合、火災に至るおそれがある。"
"293","燃料噴射ポンプの噴射管を固定するゴム付金具の締付構造が不適切なため、当該金具のゴムが劣化すると取付けボルト、ナットが弛み、当該金具及びボルト、ナットが脱落することがある。そのため、そのまま使用を続けると、最悪の場合、エンジンの振動等により噴射管に亀裂が発生し、燃料が漏れるおそれがある。"
"294","車両制御用コンピュータ（ＶＥＣＵ）のプログラムに不適切なものがあるため、灯火装置制御用コンピュータ（ＬＣＭ）と通信の確認ができないことがある。そのため、イグニションスイッチをＯＮにした際、ＡＢＳ警告灯が点灯しない場合がある。"
"295","エアコン用ハーネスのヒューズ端子部の防水構造および耐熱温度の設定が不適切なため、エアコン用ヒューズホルダ内に雨水が浸入した場合、ヒューズ端子が腐蝕して接触抵抗が増大し、負荷電流による発熱で端子が変形して接触不良となるものがある。そのため、走行中の振動によりアーク放電が発生して、最悪の場合、火災に至るおそれがある。"
"296","圧縮天然ガス自動車において、排気マニホールドに結合されている排気管の接続部の強度が不足しているため、発進時のエンジンの振動により、当該接続部に亀裂が入ることがある。そのため、そのままの状態で使用を続けると、排気管が折損し、騒音が増大するおそれがある。"
"297","燃料パイプのナイロンチューブの材質が不適切なため、経時変化により当該チューブに亀裂が発生することがある。そのため、当該パイプからから燃料が吹き出し、最悪の場合、火災に至るおそれがある。"
"298","アクスルシャフトのスプラインの加工が不適切なため、アクスルシャフトのスプラインとデフのサイドギヤとの噛み合いが不十分となるものがある。そのため、そのまま使用を続けると、サイドギヤが破損し、走行不能になるおそれがある。"
"299","かじ取り装置において、ドラッグリンクとナックルアームを接続するボールジョイントの強度が不足しているため、据え切り等操舵力の高くなる使用を頻繁に長期間続けると当該ボールジョイントの首部に亀裂が発生するものがある。そのため、そのままの状態で使用を続けると、最悪の場合、ボールジョイントの首部が破損して操舵ができなくなるおそれがある。かじ取り装置において、ナックルアームの強度が不足しているため据え切り等操舵力の高くなる使用を頻繁に長期間続けると、ナックルアームに亀裂が発生するものがある。そのため、そのままの状態で使用を続けると、最悪の場合、ナックルアームが破損して操舵ができなくなるおそれがある。"
"300","燃料タンクの燃料給油用パイプと通気用パイプの材質が不適切なため、凍結防止剤や海水等の影響により局部的に腐食が生じることがある。そのため、そのまま使用を続けると、当該パイプに微細な穴が開き、燃料が漏れるおそれがある。"
"301","左前輪用ブレーキパイプとパワーステアリングホース固定用樹脂クリップとの隙間設定が不適切なため、組付け時のばらつきにより隙間が小さい場合、走行中の振動等でブレーキパイプと当該樹脂クリップが干渉することがある。そのため、そのままの状態で使用を続けると、最悪の場合、ブレーキパイプが損傷し、ブレーキ液が漏れ、制動力が低下するおそれがある。"
"302","二輪車の前輪ブレーキケーブル外側の被覆材が不適切なため、ケーブル配索の曲がりがきつい箇所で寒冷時に屈曲を繰り返すと、外側被覆材に亀裂が発生してケーブルの曲がりがよりきつくなり、アウターケーシングスプリングが破断するものがある。そのため、そのまま使用を続けると、破断箇所でインナーケーブルが切断し、前輪ブレーキが操作できなくなるおそれがある。"
"303","原動機停止時、シリンダーヘッドに供給されたエンジンオイルの降下を抑止している逆流防止弁（ノンリターンバルブ）の構造が不適切なため、当該バルブの勘合が甘くなり分離してしまうことがある。そのため、そのままの状態で使用を続けると、当該バルブが抜けてエンジンオイルが漏れ、最悪の場合、エンジンが焼き付くおそれがある。"
"304","制動灯及び尾灯のバルブ取付け基盤のソケット部に不適切なものがあるため、振動と熱により、制動灯及び尾灯のバルブに緩みが生じることがある。そのため、そのまま使用を続けると、当該バルブとソケット部が接触不良となり、制動灯または尾灯が点灯しなくなるおそれがある。"
"305","制動灯及び尾灯のバルブ取付け基盤のソケット部に不適切なものがあるため、振動と熱により、制動灯及び尾灯のバルブに緩みが生じることがある。そのため、そのまま使用を続けると、当該バルブとソケット部が接触不良となり、制動灯または尾灯が点灯しなくなるおそれがある。"
"306","二輪車のサイドスタンドのリターンスプリングフックピン締め付け部にあるワッシャーの強度が不足しているため、サイドスタンド操作時のスプリング張力によりワッシャーが座屈することがあり、サイドスタンド操作の繰り返しによって当該フックピン締め付け部に曲げ応力が集中するものがある。そのため、そのまま使用を続けると、当該フックピンが折損し、走行中にサイドスタンドが下りることにより、サイドスタンド戻し忘れ防止機構が働き、エンジンが突然停止するおそれがある。"
"307","発電機（オルタネータ）のボビンとコイル間に巻かれたテープの材質が不適切なため、発電時に発生する熱により当該テープからガスが発生し、コイル被覆が損傷してショートし、発電ができなくなるものがある。そのため、そのままの状態で使用を続けると、エンジンが停止して再始動ができなくなるおそれがある。"
"308","加速装置において、スロットルケーブルの防水構造が不適切なため、雨天時の走行等により、後輪タイヤの跳ね上げた水が当該ケーブル内部に浸入することがある。そのため、低温時に当該ケーブル内部に浸入した水が凍結し、最悪の場合、アクセルグリップが戻らなくなり、エンジンの回転が下がらなくなるおそれがある。"
"309","前席シートベルトの巻き取り装置の製造工程において、ベルト巻き取りバネの取付けが不適切なため、シートベルトの巻き取りがされないことがある。そのため、衝突等による衝撃を受けた場合に乗員を保持できないおそれがある。"
"310","エンジンを制御するコンピュータのプログラムが不適切なため、ステアリングロック機構が作動しているにもかかわらず、燃料噴射停止機能が作動しないことがある。そのため、ステアリングロック機構が解除されないまま、原動機を始動し走行を開始した場合、かじ取り操作ができないおそれがある。"
"311","一般道路走行時には使用を禁止している補助ステアリングシステム（運転席を後方に向けて作業する際の操作性を確保するための装置）において、当該システムの誤操作防止機能が不十分なため、当該システムの操作スイッチ（逆ステアリングスイッチ）を作動させた状態で一般道路走行をした場合、ブーム後方位置検出スイッチに故障が生じると、操舵時に運転手の意思に反して逆方向に操舵されるおそれがある。"
"312","ワイパーアーム内側に取り付けられているウィンドウウォッシャホースが正しく取り付けられていないものがあり、そのまま使用を続けると、ワイパーアーム内のスプリングに当該ホースが挟まれることがある。最悪の場合、洗浄液が噴射されないおそれがある。"
"313","駐車ブレーキ装置において、駐車ブレーキバネと駐車ブレーキワイヤの間の外れ防止構造が不適切なため、当該バネと当該ワイヤの追従不良からワイヤにたるみが発生し、当該バネのフック部からワイヤエンドが外れることがある。そのため、駐車ブレーキレバーを操作しても、駐車ブレーキが作動しなくなるおそれがある。"
"314","無段式変速機において、出力側プーリ軸に異品を組み付けたものがあるため、スチールベルトが通常のプーリー接触部と異なる部位と干渉して、スチールベルトが傷付くおそれがある。そのため、そのまま使用を続けると、スチールベルトが破損して走行不能にいたるおそれがある。"
"315","燃料蒸発ガスがホース内を通過する時の脈動音を低減させるパージレゾネータの製造方法が不適切なため、パージレゾネータの溶着部がはがれることがある。そのため、そのまま使用を続けると、パージレゾネータから燃料蒸発ガスが漏れて、炭化水素の排出量が規制値を超えるおそれがある。"
"316","ハブボルトの過大締付け等の整備状況や、過積載等の想定を超える稼動条件に対して、フロントハブの強度余裕が十分でないため、旋回頻度の高い走行を繰り返した場合等に、ハブのフランジ部の付け根付近に亀裂が発生するおそれがある。"
"317","リヤハブのフランジ付け根部の強度が十分でないため、旋回頻度の高い走行を繰り返した場合等に、当該部分に亀裂が発生するものがある。また、初期の車両において、フランジ付け根部付近の加工不良などの要因が重なると応力が集中し、この亀裂の発生が早まる可能性がある。そのため、そのままの状態で使用を続けると亀裂が進行し、最悪の場合、当該部分が破断して走行不能となるおそれがある。"
"318","駆動輪の空転を防止するために装着されているＡＳＲ（アンチスピンレギュレータ）バルブ内部の弁の材質および寸法が不適切なため、当該弁の背面にかかるエア圧による経年劣化および高温環境下での変形により、排気ポートを塞ぐものがある。そのため、ブレーキ配管内に圧力が残留し、常にブレーキが作動した状態となってブレーキドラムが過熱して、最悪の場合、火災に至るおそれがある。"
"319","燃料系統の気密検査において、燃料タンクに通常の検査圧力を超える圧力がかかったため、燃料タンクが変形したものがある。そのため、夏場の外気温度が高い時に、燃料を満タンにした状態で急な斜面に長時間駐車等をした場合、燃料タンクからキャニスター内に燃料が過剰に流入し、キャニスターから燃料が漏れるおそれがある。"
"320","一般道路走行時には使用を禁止している補助ステアリングシステム（運転席を後方に向けて作業する際の操作性を確保するための装置）において、当該システムの誤操作防止構造が十分ではないため、一般道路走行時に当該システムの操作スイッチ（逆ステアリングスイッチ）を誤って操作した場合、当該システムが作動し、操舵時に運転者の意思に反して逆方向に操舵される。"
"321","チャイルドシートのロッキングバー（ＩＳＯ－ＦＩＸ固定システム用）において、ロック部の加工が不適切なため、強度が不足しているものがある。そのため、当該シートをＩＳＯ－ＦＩＸシステムで固定した状態で衝突等の負荷を受けた際、当該ロックが車両側の固定フックから外れ、乗員を拘束出来ないおそれがある。"
"322","バスの非常口横の前転倒式座席において、転倒防止金具が取付けられていないものがある。そのため、急ブレーキにより乗客が後方より当該座席に倒れかかるとヒンジの固定が外れ、最悪の場合、座席が転倒するおそれがある。"
"323","パワーステアリングシリンダアンカー部の強度が不足しているため、最大舵角での操作を繰り返すと、当該部に亀裂が入ることがある。そのため、そのままの状態で使用を続けると、最悪の場合、当該アンカーが破損し、操舵不能に至るおそれがある。"
